Time,Voltage
1,-0.01
2,-0.01
3,-0.01
4,-0.01
5,-0.01
6,-0.01
7,-0.01
8,-0.01
9,-0.01
10,-0.01
11,-0.01
12,-0.01
13,-0.01
14,-0.01
15,-0.01
16,-0.01
17,-0.01
18,-0.01
19,-0.01
20,-0.01
21,-0.01
22,-0.01
23,-0.01
24,-0.01
25,0.05
26,0.09
27,0.1
28,0.11
29,0.12
30,0.12
31,0.13
32,0.13
33,0.14
34,0.14
35,0.15
36,0.15
37,0.15
38,0.16
39,0.16
40,0.17
41,0.17
42,0.18
43,0.18
44,0.18
45,0.18
46,0.19
47,0.19
48,0.2
49,0.2
50,0.2
51,0.21
52,0.21
53,0.22
54,0.22
55,0.22
56,0.22
57,0.22
58,0.22
59,0.23
60,0.23
61,0.23
62,0.24
63,0.24
64,0.24
65,0.24
66,0.25
67,0.25
68,0.26
69,0.26
70,0.27
71,0.27
72,0.27
73,0.27
74,0.28
75,0.28
76,0.28
77,0.29
78,0.29
79,0.29
80,0.29
81,0.3
82,0.3
83,0.3
84,0.31
85,0.31
86,0.31
87,0.31
88,0.32
89,0.32
90,0.32
91,0.33
92,0.33
93,0.33
94,0.33
95,0.33
96,0.34
97,0.34
98,0.34
99,0.35
100,0.35
101,0.36
102,0.36
103,0.36
104,0.36
105,0.37
106,0.37
107,0.37
108,0.38
109,0.38
110,0.38
111,0.38
112,0.38
113,0.39
114,0.39
115,0.39
116,0.39
117,0.4
118,0.4
119,0.4
120,0.41
121,0.41
122,0.41
123,0.41
124,0.42
125,0.42
126,0.43
127,0.43
128,0.43
129,0.43
130,0.44
131,0.44
132,0.44
133,0.45
134,0.45
135,0.45
136,0.45
137,0.46
138,0.46
139,0.46
140,0.46
141,0.47
142,0.47
143,0.47
144,0.47
145,0.48
146,0.48
147,0.48
148,0.48
149,0.49
150,0.49
151,0.49
152,0.5
153,0.5
154,0.5
155,0.51
156,0.51
157,0.51
158,0.52
159,0.52
160,0.52
161,0.52
162,0.53
163,0.53
164,0.53
165,0.54
166,0.54
167,0.54
168,0.54
169,0.54
170,0.54
171,0.55
172,0.56
173,0.56
174,0.56
175,0.56
176,0.56
177,0.56
178,0.57
179,0.57
180,0.57
181,0.58
182,0.58
183,0.58
184,0.58
185,0.59
186,0.59
187,0.59
188,0.6
189,0.6
190,0.6
191,0.6
192,0.61
193,0.61
194,0.61
195,0.61
196,0.62
197,0.62
198,0.62
199,0.62
200,0.63
201,0.63
202,0.63
203,0.63
204,0.64
205,0.64
206,0.64
207,0.64
208,0.65
209,0.65
210,0.65
211,0.66
212,0.66
213,0.66
214,0.66
215,0.66
216,0.67
217,0.67
218,0.67
219,0.67
220,0.68
221,0.68
222,0.68
223,0.68
224,0.69
225,0.69
226,0.69
227,0.7
228,0.7
229,0.7
230,0.7
231,0.7
232,0.7
233,0.71
234,0.71
235,0.72
236,0.72
237,0.72
238,0.72
239,0.72
240,0.73
