Time ,Voltage 
1,-0.01
2,-0.01
3,-0.01
4,-0.01
5,-0.02
6,-0.01
7,-0.01
8,-0.01
9,-0.02
10,-0.01
11,-0.01
12,-0.01
13,-0.01
14,-0.01
15,-0.01
16,-0.02
17,0.01
18,0.01
19,0.02
20,0.02
21,0.02
22,0.02
23,0.02
24,0.03
25,0.03
26,0.03
27,0.04
28,0.03
29,0.03
30,0.04
31,0.04
32,0.04
33,0.04
34,0.04
35,0.04
36,0.04
37,0.04
38,0.04
39,0.04
40,0.04
41,0.04
42,0.04
43,0.04
44,0.04
45,0.05
46,0.05
47,0.05
48,0.05
49,0.05
50,0.05
51,0.05
52,0.05
53,0.05
54,0.06
55,0.06
56,0.06
57,0.06
58,0.05
59,0.06
60,0.06
61,0.06
62,0.06
63,0.06
64,0.06
65,0.06
66,0.06
67,0.06
68,0.06
69,0.06
70,0.06
71,0.06
72,0.06
73,0.06
74,0.07
75,0.07
76,0.07
77,0.07
78,0.07
79,0.07
80,0.07
81,0.07
82,0.07
83,0.07
84,0.07
85,0.08
86,0.08
87,0.08
88,0.08
89,0.08
90,0.08
91,0.08
92,0.08
93,0.08
94,0.08
95,0.08
96,0.09
97,0.09
98,0.08
99,0.08
100,0.09
101,0.09
102,0.09
103,0.09
104,0.09
105,0.09
106,0.09
107,0.09
108,0.09
109,0.09
110,0.09
111,0.09
112,0.09
113,0.09
114,0.09
115,0.09
116,0.1
117,0.1
118,0.1
119,0.1
120,0.1
121,0.1
122,0.1
123,0.1
124,0.1
125,0.1
126,0.1
127,0.11
128,0.11
129,0.1
130,0.11
131,0.11
132,0.11
133,0.11
134,0.11
135,0.11
136,0.11
137,0.11
138,0.11
139,0.11
140,0.11
141,0.11
142,0.12
143,0.11
144,0.11
145,0.11
146,0.12
147,0.11
148,0.11
149,0.12
150,0.12
151,0.12
152,0.12
153,0.12
154,0.12
155,0.12
156,0.12
157,0.12
158,0.12
159,0.13
160,0.13
161,0.13
162,0.13
163,0.13
164,0.13
165,0.13
166,0.13
167,0.13
168,0.13
169,0.13
170,0.13
171,0.13
172,0.13
173,0.13
174,0.13
175,0.14
176,0.14
177,0.14
178,0.14
179,0.14
180,0.14
181,0.14
182,0.14
183,0.14
184,0.14
185,0.14
186,0.14
187,0.14
188,0.14
189,0.15
190,0.14
191,0.15
192,0.15
193,0.15
194,0.15
195,0.15
196,0.15
197,0.15
198,0.15
199,0.15
200,0.15
201,0.15
202,0.15
203,0.15
204,0.15
205,0.15
206,0.15
207,0.15
208,0.15
209,0.16
210,0.16
211,0.16
212,0.16
213,0.16
214,0.16
215,0.16
216,0.16
217,0.16
218,0.16
219,0.16
220,0.17
221,0.17
222,0.17
223,0.17
224,0.17
225,0.17
226,0.17
227,0.17
228,0.17
229,0.17
230,0.18
231,0.18
232,0.18
233,0.18
234,0.18
235,0.18
236,0.18
237,0.18
238,0.18
239,0.18
240,0.18
241,0.18
242,0.18
243,0.18
244,0.18
245,0.18
246,0.18
247,0.18
248,0.18
249,0.18
250,0.19
251,0.19
252,0.19
253,0.19
254,0.19
255,0.19
256,0.19
257,0.19
258,0.19
259,0.19
260,0.19
261,0.2
262,0.2
263,0.2
264,0.2
265,0.2
266,0.2
267,0.2
268,0.2
269,0.2
270,0.2
271,0.2
272,0.2
273,0.2
274,0.2
275,0.2
276,0.2
277,0.2
278,0.2
279,0.2
280,0.2
281,0.21
282,0.21
283,0.21
284,0.21
285,0.21
286,0.21
287,0.21
288,0.21
289,0.21
290,0.21
291,0.21
292,0.21
293,0.22
294,0.22
295,0.21
296,0.21
297,0.22
298,0.22
299,0.22
300,0.22
301,0.22
302,0.22
303,0.22
304,0.22
305,0.22
306,0.22
307,0.22
308,0.22
309,0.23
310,0.23
