Time ,Voltage
1,-0.01
2,-0.01
3,-0.02
4,-0.02
5,-0.01
6,-0.02
7,-0.02
8,-0.02
9,-0.01
10,-0.02
11,-0.02
12,-0.02
13,-0.02
14,-0.02
15,-0.01
16,-0.02
17,-0.02
18,-0.02
19,-0.02
20,0.02
21,0.04
22,0.04
23,0.04
24,0.04
25,0.05
26,0.05
27,0.06
28,0.06
29,0.06
30,0.06
31,0.07
32,0.07
33,0.07
34,0.07
35,0.08
36,0.07
37,0.08
38,0.08
39,0.08
40,0.09
41,0.09
42,0.09
43,0.09
44,0.09
45,0.09
46,0.09
47,0.1
48,0.1
49,0.1
50,0.1
51,0.1
52,0.11
53,0.11
54,0.11
55,0.11
56,0.11
57,0.11
58,0.11
59,0.11
60,0.12
61,0.12
62,0.12
63,0.13
64,0.12
65,0.12
66,0.13
67,0.13
68,0.13
69,0.13
70,0.13
71,0.14
72,0.14
73,0.14
74,0.14
75,0.14
76,0.15
77,0.15
78,0.15
79,0.15
80,0.15
81,0.15
82,0.15
83,0.15
84,0.16
85,0.16
86,0.16
87,0.16
88,0.16
89,0.16
90,0.17
91,0.17
92,0.17
93,0.17
94,0.18
95,0.18
96,0.18
97,0.18
98,0.18
99,0.18
100,0.18
101,0.18
102,0.19
103,0.19
104,0.19
105,0.19
106,0.2
107,0.19
108,0.2
109,0.2
110,0.2
111,0.2
112,0.2
113,0.2
114,0.2
115,0.21
116,0.21
117,0.21
118,0.21
119,0.22
120,0.22
121,0.22
122,0.22
123,0.22
124,0.22
125,0.22
126,0.22
127,0.23
128,0.23
129,0.23
130,0.23
131,0.23
132,0.24
133,0.23
134,0.23
135,0.24
136,0.24
137,0.24
138,0.24
139,0.24
140,0.24
141,0.24
142,0.25
143,0.25
144,0.25
145,0.26
146,0.26
147,0.26
148,0.26
149,0.26
150,0.26
151,0.27
152,0.26
153,0.26
154,0.27
155,0.27
156,0.27
157,0.27
158,0.27
159,0.27
160,0.27
161,0.28
162,0.28
163,0.28
164,0.29
165,0.29
166,0.29
167,0.29
168,0.29
169,0.29
170,0.29
171,0.29
172,0.29
173,0.29
174,0.29
175,0.3
176,0.3
177,0.3
178,0.31
179,0.31
180,0.31
181,0.31
182,0.31
183,0.31
184,0.31
185,0.31
186,0.31
187,0.31
